Epoch 1: train_loss: 6.9703133376777595, train_acc: 0.3184840425531915, train_f1: 0.14443574237700907
Epoch 2: train_loss: 6.464292656445334, train_acc: 0.36558067375886527, train_f1: 0.17206491592755302
Epoch 3: train_loss: 6.357991012275642, train_acc: 0.375, train_f1: 0.17964568592799549
Epoch 4: train_loss: 6.272620250147285, train_acc: 0.38187056737588654, train_f1: 0.19574139156861833
Epoch 5: train_loss: 6.193163330673326, train_acc: 0.3925088652482269, train_f1: 0.21396832496845453
Epoch 6: train_loss: 6.1364055119507706, train_acc: 0.3962765957446808, train_f1: 0.22384438885571856
Epoch 7: train_loss: 6.039295965898122, train_acc: 0.40835549645390073, train_f1: 0.24131763561491018
Epoch 8: train_loss: 5.998222462674405, train_acc: 0.41411790780141844, train_f1: 0.24621034001371958
Epoch 9: train_loss: 5.87043829336234, train_acc: 0.4288563829787234, train_f1: 0.26594827540191707
Epoch 10: train_loss: 5.833095242791142, train_acc: 0.43672429078014185, train_f1: 0.2726175908995141
Epoch 11: train_loss: 5.723658204078674, train_acc: 0.4451462765957447, train_f1: 0.2811153774755044
Epoch 12: train_loss: 5.639087729420222, train_acc: 0.45755762411347517, train_f1: 0.2888486158652798
Epoch 13: train_loss: 5.588068714378573, train_acc: 0.46099290780141844, train_f1: 0.2972233053195751
Epoch 14: train_loss: 5.488461804728136, train_acc: 0.471520390070922, train_f1: 0.3093268422877757
Epoch 15: train_loss: 5.417452071575409, train_acc: 0.4786125886524823, train_f1: 0.3204597323939007
Epoch 16: train_loss: 5.335568734094606, train_acc: 0.48781028368794327, train_f1: 0.3489597812762395
Epoch 17: train_loss: 5.2429771431794405, train_acc: 0.4962322695035461, train_f1: 0.36836143322193865
Epoch 18: train_loss: 5.143921880011863, train_acc: 0.5093085106382979, train_f1: 0.39770606210453
Epoch 19: train_loss: 5.026918752819088, train_acc: 0.5224955673758865, train_f1: 0.4062925828631021
Epoch 20: train_loss: 4.97702228769343, train_acc: 0.5295877659574468, train_f1: 0.4191880742592833
Epoch 21: train_loss: 4.906761757870938, train_acc: 0.5356826241134752, train_f1: 0.4260805208397249
Epoch 22: train_loss: 4.833330758919953, train_acc: 0.5433289007092199, train_f1: 0.4457457773447275
Epoch 23: train_loss: 4.812574907397548, train_acc: 0.5426640070921985, train_f1: 0.4365417482058791
Epoch 24: train_loss: 4.710743095857877, train_acc: 0.5564051418439716, train_f1: 0.46691351524988894
Epoch 25: train_loss: 4.623340491707443, train_acc: 0.5647163120567376, train_f1: 0.4764867042818279
Epoch 26: train_loss: 4.615779234162459, train_acc: 0.5658244680851063, train_f1: 0.4832448055966155
Epoch 27: train_loss: 4.519924130000121, train_acc: 0.5757978723404256, train_f1: 0.5006173621346311
Epoch 28: train_loss: 4.480069781871552, train_acc: 0.5787898936170213, train_f1: 0.5021389427721752
Epoch 29: train_loss: 4.442386706670125, train_acc: 0.5814494680851063, train_f1: 0.5067480122270611
Epoch 30: train_loss: 4.408828350669103, train_acc: 0.5902039007092199, train_f1: 0.5182867480908889
Epoch 31: train_loss: 4.351636092713538, train_acc: 0.5948581560283688, train_f1: 0.5231440889636295
Epoch 32: train_loss: 4.310241029617634, train_acc: 0.5987367021276596, train_f1: 0.5301349212680678
Epoch 33: train_loss: 4.269507695597114, train_acc: 0.6017287234042553, train_f1: 0.5358965191211363
Epoch 34: train_loss: 4.22805766180052, train_acc: 0.6080452127659575, train_f1: 0.5422200589242376
Epoch 35: train_loss: 4.170347587013921, train_acc: 0.6136968085106383, train_f1: 0.5468166064781502
Epoch 36: train_loss: 4.145432098537472, train_acc: 0.6162455673758865, train_f1: 0.548128086529809
Epoch 37: train_loss: 4.1087261362278715, train_acc: 0.619459219858156, train_f1: 0.5541688653207548
Epoch 38: train_loss: 4.052091000773382, train_acc: 0.6265514184397163, train_f1: 0.5645291384908991
Epoch 39: train_loss: 4.020615023078648, train_acc: 0.6328679078014184, train_f1: 0.5676592758593987
Epoch 40: train_loss: 3.9603803386079504, train_acc: 0.6348625886524822, train_f1: 0.5729627458021685
Epoch 41: train_loss: 3.9235350041524737, train_acc: 0.63885195035461, train_f1: 0.5762587140095722
Epoch 42: train_loss: 3.869921828415377, train_acc: 0.6453900709219859, train_f1: 0.5826913238783588
Epoch 43: train_loss: 3.866304554837815, train_acc: 0.6447251773049646, train_f1: 0.5866597425419471
Epoch 44: train_loss: 3.8498642808156656, train_acc: 0.6447251773049646, train_f1: 0.5831377012837189
Epoch 45: train_loss: 3.8315926840964782, train_acc: 0.6493794326241135, train_f1: 0.5908902185963002
Epoch 46: train_loss: 3.730891019740003, train_acc: 0.6592420212765957, train_f1: 0.5988336092187602
Epoch 47: train_loss: 3.747252167116666, train_acc: 0.6582446808510638, train_f1: 0.6003635210790657
Epoch 48: train_loss: 3.6996421581464456, train_acc: 0.6616799645390071, train_f1: 0.6019004922608153
Epoch 49: train_loss: 3.6902188675623413, train_acc: 0.6648936170212766, train_f1: 0.6094632317969604
Epoch 50: train_loss: 3.6208895677370383, train_acc: 0.6699911347517731, train_f1: 0.6130963439631653
Epoch 51: train_loss: 3.624935729706541, train_acc: 0.6687721631205674, train_f1: 0.61204256591762
Epoch 52: train_loss: 3.601100429998222, train_acc: 0.6722074468085106, train_f1: 0.6137225570488969
Epoch 53: train_loss: 3.6487025555143964, train_acc: 0.668218085106383, train_f1: 0.6117626712949188
Epoch 54: train_loss: 3.5638988157536122, train_acc: 0.6758643617021277, train_f1: 0.6205533213972321
Epoch 55: train_loss: 3.5579455000288944, train_acc: 0.676529255319149, train_f1: 0.6194352838738754
Epoch 56: train_loss: 3.480667844731757, train_acc: 0.6835106382978723, train_f1: 0.6274176143982324
Epoch 57: train_loss: 3.491279698855488, train_acc: 0.6837322695035462, train_f1: 0.6271506435684651
Epoch 58: train_loss: 3.487220937055899, train_acc: 0.6833998226950354, train_f1: 0.6282414547253238
Epoch 59: train_loss: 3.394945224971636, train_acc: 0.6935948581560284, train_f1: 0.6392849971355593
Epoch 60: train_loss: 3.454228475584206, train_acc: 0.6876108156028369, train_f1: 0.6311667532796842
Epoch 61: train_loss: 3.4049750891983086, train_acc: 0.692154255319149, train_f1: 0.6358869037935729
Epoch 62: train_loss: 3.382940893054854, train_acc: 0.6949246453900709, train_f1: 0.6399602563680699
Epoch 63: train_loss: 3.394319623074633, train_acc: 0.6943705673758865, train_f1: 0.6404775847481288
Epoch 64: train_loss: 3.3622857167365705, train_acc: 0.6950354609929078, train_f1: 0.6407352367371627
Epoch 65: train_loss: 3.341453119372645, train_acc: 0.6996897163120568, train_f1: 0.6455720715944707
Epoch 66: train_loss: 3.370300083929765, train_acc: 0.6951462765957447, train_f1: 0.6419505880611278
Epoch 67: train_loss: 3.3657237557654685, train_acc: 0.6961436170212766, train_f1: 0.6413898122915982
Epoch 68: train_loss: 3.296692647832505, train_acc: 0.7024601063829787, train_f1: 0.6479422838135992
Epoch 69: train_loss: 3.3521747107201434, train_acc: 0.6964760638297872, train_f1: 0.6416602658613787
Epoch 70: train_loss: 3.2767260991935188, train_acc: 0.7050088652482269, train_f1: 0.6504294438560243
Epoch 71: train_loss: 3.2362511453899088, train_acc: 0.7087765957446809, train_f1: 0.6575264720103643
Epoch 72: train_loss: 3.3058942209744284, train_acc: 0.7025709219858156, train_f1: 0.6474760271427998
Epoch 73: train_loss: 3.203411690732266, train_acc: 0.7136524822695035, train_f1: 0.6582655934176268
Epoch 74: train_loss: 3.226319556540631, train_acc: 0.7098847517730497, train_f1: 0.6574206575532918
Epoch 75: train_loss: 3.2376336789300257, train_acc: 0.7078900709219859, train_f1: 0.6535186776194623
Epoch 76: train_loss: 3.2113259443154574, train_acc: 0.7122118794326241, train_f1: 0.659787451366646
Epoch 77: train_loss: 3.197156422738488, train_acc: 0.7137632978723404, train_f1: 0.6603515927413002
Epoch 78: train_loss: 3.2209040068142802, train_acc: 0.7109929078014184, train_f1: 0.6561433321618926
Epoch 79: train_loss: 3.165033518845308, train_acc: 0.7154255319148937, train_f1: 0.6612992794503335
Epoch 80: train_loss: 3.154128091555115, train_acc: 0.7190824468085106, train_f1: 0.6653174199560792
Epoch 81: train_loss: 3.1516978322191442, train_acc: 0.7190824468085106, train_f1: 0.6661854811646617
Epoch 82: train_loss: 3.163249583531779, train_acc: 0.7168661347517731, train_f1: 0.6611089234171248
Epoch 83: train_loss: 3.1435513158216546, train_acc: 0.7174202127659575, train_f1: 0.6656932343174347
Epoch 84: train_loss: 3.1771267111419785, train_acc: 0.7144281914893617, train_f1: 0.6591445550297977
Epoch 85: train_loss: 3.082460530683504, train_acc: 0.7245124113475178, train_f1: 0.671494833078639
Epoch 86: train_loss: 3.1006389991611454, train_acc: 0.721520390070922, train_f1: 0.6688781700613208
Epoch 87: train_loss: 3.126100077273998, train_acc: 0.7204122340425532, train_f1: 0.667233439183805
Epoch 88: train_loss: 3.1356575763817376, train_acc: 0.7186391843971631, train_f1: 0.6641053734488669
Epoch 89: train_loss: 3.1308601255535233, train_acc: 0.7193040780141844, train_f1: 0.6650304333078986
Epoch 90: train_loss: 3.0725343603614372, train_acc: 0.7272828014184397, train_f1: 0.6715106564338783
Epoch 91: train_loss: 3.053952838089449, train_acc: 0.7278368794326241, train_f1: 0.6754270199581072
Epoch 92: train_loss: 3.066266211634832, train_acc: 0.7276152482269503, train_f1: 0.6732833647713861
Epoch 93: train_loss: 3.0700045747959868, train_acc: 0.7257313829787234, train_f1: 0.6715551418873749
Epoch 94: train_loss: 3.077329581933664, train_acc: 0.7244015957446809, train_f1: 0.6702688618882687
Epoch 95: train_loss: 2.98359869135187, train_acc: 0.7337101063829787, train_f1: 0.6792008837290169
Epoch 96: train_loss: 3.0388455090793314, train_acc: 0.7304964539007093, train_f1: 0.6776133296105287
Epoch 97: train_loss: 3.0496004004004997, train_acc: 0.7272828014184397, train_f1: 0.672299684849588
Epoch 98: train_loss: 3.019408923937074, train_acc: 0.7283909574468085, train_f1: 0.6761008286720332
Epoch 99: train_loss: 2.9965993909971087, train_acc: 0.7323803191489362, train_f1: 0.678567345142841
Epoch 100: train_loss: 2.9931759631380124, train_acc: 0.733488475177305, train_f1: 0.6798512894441185
Epoch 101: train_loss: 2.9908776752492217, train_acc: 0.7317154255319149, train_f1: 0.6776012169925517
Epoch 102: train_loss: 2.975848434664679, train_acc: 0.7342641843971631, train_f1: 0.6801320677961956
Epoch 103: train_loss: 2.9816442875997393, train_acc: 0.7344858156028369, train_f1: 0.6784025866611777
Epoch 104: train_loss: 2.974487875792997, train_acc: 0.7349290780141844, train_f1: 0.6812670634673478
Epoch 105: train_loss: 3.0203366186601897, train_acc: 0.729720744680851, train_f1: 0.6757638395765603
Epoch 106: train_loss: 2.977165789468914, train_acc: 0.7337101063829787, train_f1: 0.6788598661327673
Epoch 107: train_loss: 2.960249420598889, train_acc: 0.7348182624113475, train_f1: 0.6796692014629757
Epoch 108: train_loss: 2.9797205485350697, train_acc: 0.7350398936170213, train_f1: 0.6797145581301165
Epoch 109: train_loss: 2.985052485415276, train_acc: 0.7329343971631206, train_f1: 0.6779930274895235
Epoch 110: train_loss: 2.914126624875035, train_acc: 0.7404698581560284, train_f1: 0.6858885293404072
Epoch 111: train_loss: 2.931806448503589, train_acc: 0.7383643617021277, train_f1: 0.6822723579014638
Epoch 112: train_loss: 2.963415873177508, train_acc: 0.7348182624113475, train_f1: 0.6811115120363804
Epoch 113: train_loss: 2.8546542301245617, train_acc: 0.7455673758865248, train_f1: 0.6901419291385563
Epoch 114: train_loss: 2.909074486570155, train_acc: 0.7402482269503546, train_f1: 0.6864641873881906
Epoch 115: train_loss: 2.918389378709996, train_acc: 0.7405806737588653, train_f1: 0.6862340297464082
Epoch 116: train_loss: 2.9040867060634263, train_acc: 0.7413563829787234, train_f1: 0.6875418180956746
Epoch 117: train_loss: 2.927290744392584, train_acc: 0.7386968085106383, train_f1: 0.6860534252789342
Epoch 118: train_loss: 2.8982886232382863, train_acc: 0.7415780141843972, train_f1: 0.6871298607927799
Epoch 119: train_loss: 2.9083233408048645, train_acc: 0.7409131205673759, train_f1: 0.6888149579088897
Epoch 120: train_loss: 2.8579496827954096, train_acc: 0.746343085106383, train_f1: 0.6909721096038708
Epoch 121: train_loss: 2.880951571549084, train_acc: 0.7427969858156028, train_f1: 0.6883092230475855
Epoch 122: train_loss: 2.8702792707064475, train_acc: 0.7452349290780141, train_f1: 0.6913028572876189
Epoch 123: train_loss: 2.844428384557683, train_acc: 0.7478945035460993, train_f1: 0.6932895631605581
Epoch 124: train_loss: 2.874591688949166, train_acc: 0.7454565602836879, train_f1: 0.6915660132221625
Epoch 125: train_loss: 2.8493034919948443, train_acc: 0.7452349290780141, train_f1: 0.6907106070345796
Epoch 126: train_loss: 2.859963281357542, train_acc: 0.7468971631205674, train_f1: 0.6938304618105527
Epoch 127: train_loss: 2.843574114513735, train_acc: 0.7481161347517731, train_f1: 0.693506135216217
Epoch 128: train_loss: 2.8198955940439348, train_acc: 0.7492242907801419, train_f1: 0.694984486337007
Epoch 129: train_loss: 2.8020060123704003, train_acc: 0.7512189716312057, train_f1: 0.6967030699514897
Epoch 130: train_loss: 2.8122304158007845, train_acc: 0.7504432624113475, train_f1: 0.6963165481659265
Epoch 131: train_loss: 2.7877680824158038, train_acc: 0.7516622340425532, train_f1: 0.6968763952993688
Epoch 132: train_loss: 2.8007828364980982, train_acc: 0.7505540780141844, train_f1: 0.6985469745070088
Epoch 133: train_loss: 2.8201931715011597, train_acc: 0.7486702127659575, train_f1: 0.6928515774772742
Epoch 134: train_loss: 2.7724357496762106, train_acc: 0.753656914893617, train_f1: 0.6996730040206584
Epoch 135: train_loss: 2.8097243340725595, train_acc: 0.750886524822695, train_f1: 0.6994347645318147
Epoch 136: train_loss: 2.7458117437278124, train_acc: 0.7553191489361702, train_f1: 0.7026533189548445
Epoch 137: train_loss: 2.7604009238540703, train_acc: 0.7549867021276596, train_f1: 0.7019042183435951
Epoch 138: train_loss: 2.7831370758672134, train_acc: 0.7538785460992907, train_f1: 0.7009444393769598
Epoch 139: train_loss: 2.8103922679491924, train_acc: 0.7484485815602837, train_f1: 0.6960908418849008
Epoch 140: train_loss: 2.754655730428425, train_acc: 0.754654255319149, train_f1: 0.7012859814352187
Epoch 141: train_loss: 2.732091412476614, train_acc: 0.7560948581560284, train_f1: 0.7029571810403019
Epoch 142: train_loss: 2.744300602809757, train_acc: 0.7579787234042553, train_f1: 0.7060705515664614
Epoch 143: train_loss: 2.750292691567265, train_acc: 0.7556515957446809, train_f1: 0.7016043475308628
Epoch 144: train_loss: 2.7679169708532645, train_acc: 0.7549867021276596, train_f1: 0.7036911552639408
