Epoch 1: train_loss: 0.9794229588338307, train_acc: 0.2609375, train_f1: 0.14787245718520245
Epoch 2: train_loss: 0.9539718121290207, train_acc: 0.28549107142857144, train_f1: 0.16675611247290092
Epoch 3: train_loss: 0.9399685318980898, train_acc: 0.3066964285714286, train_f1: 0.1774618208680275
Epoch 4: train_loss: 0.9197864540985652, train_acc: 0.3171875, train_f1: 0.1872279106346693
Epoch 5: train_loss: 0.9089444577693939, train_acc: 0.3325892857142857, train_f1: 0.19580712145607845
Epoch 6: train_loss: 0.8899352665458407, train_acc: 0.3455357142857143, train_f1: 0.20929251119464376
Epoch 7: train_loss: 0.886870379958834, train_acc: 0.35379464285714285, train_f1: 0.2261018873568512
Epoch 8: train_loss: 0.8713994030441556, train_acc: 0.36339285714285713, train_f1: 0.22485435365884068
Epoch 9: train_loss: 0.868785840698651, train_acc: 0.3645089285714286, train_f1: 0.23548172604018702
Epoch 10: train_loss: 0.8558448238032205, train_acc: 0.3732142857142857, train_f1: 0.2431032029071122
Epoch 11: train_loss: 0.8497984311410359, train_acc: 0.38125, train_f1: 0.26442087371529993
Epoch 12: train_loss: 0.8411065310239791, train_acc: 0.38816964285714284, train_f1: 0.2694329252261739
Epoch 13: train_loss: 0.8404512835400445, train_acc: 0.3875, train_f1: 0.2706605093927357
Epoch 14: train_loss: 0.8347765271152768, train_acc: 0.3966517857142857, train_f1: 0.27869284764952823
Epoch 15: train_loss: 0.8283243702990668, train_acc: 0.3977678571428571, train_f1: 0.28108479637461065
Epoch 16: train_loss: 0.8288866945675442, train_acc: 0.4002232142857143, train_f1: 0.2817187401024793
Epoch 17: train_loss: 0.8191297543900353, train_acc: 0.40580357142857143, train_f1: 0.2888239753109269
Epoch 18: train_loss: 0.8151306037391935, train_acc: 0.41116071428571427, train_f1: 0.2924755313087923
Epoch 19: train_loss: 0.813941763980048, train_acc: 0.41316964285714286, train_f1: 0.2941518238952479
Epoch 20: train_loss: 0.8192783598388944, train_acc: 0.40513392857142855, train_f1: 0.28755459095450436
