Epoch 1: train_loss: 0.9785304052489144, train_acc: 0.26875, train_f1: 0.16097482565981117
Epoch 2: train_loss: 0.9633081355265208, train_acc: 0.28660714285714284, train_f1: 0.16622218608847253
Epoch 3: train_loss: 0.943339974113873, train_acc: 0.303125, train_f1: 0.18182016923783886
Epoch 4: train_loss: 0.9325577339955738, train_acc: 0.31473214285714285, train_f1: 0.18847429317165318
Epoch 5: train_loss: 0.9072857686451503, train_acc: 0.33705357142857145, train_f1: 0.20608593387314977
Epoch 6: train_loss: 0.892183950969151, train_acc: 0.3508928571428571, train_f1: 0.21175028341713034
Epoch 7: train_loss: 0.8772412717342377, train_acc: 0.3578125, train_f1: 0.2219050199903253
Epoch 8: train_loss: 0.869155751807349, train_acc: 0.36294642857142856, train_f1: 0.22877139885526962
Epoch 9: train_loss: 0.8775611937046051, train_acc: 0.35513392857142856, train_f1: 0.22135730352118854
Epoch 10: train_loss: 0.8636163796697344, train_acc: 0.3705357142857143, train_f1: 0.2329187832298837
Epoch 11: train_loss: 0.8443253976958138, train_acc: 0.38526785714285716, train_f1: 0.2541600566856283
Epoch 12: train_loss: 0.8446715171848025, train_acc: 0.3834821428571429, train_f1: 0.25575686081830384
Epoch 13: train_loss: 0.8378240466117859, train_acc: 0.3912946428571429, train_f1: 0.26810808569445094
Epoch 14: train_loss: 0.8298701333148139, train_acc: 0.3926339285714286, train_f1: 0.2709154688499978
Epoch 15: train_loss: 0.8242749043873379, train_acc: 0.4029017857142857, train_f1: 0.2854095755902357
Epoch 16: train_loss: 0.8341880287442889, train_acc: 0.39151785714285714, train_f1: 0.273291830360945
Epoch 17: train_loss: 0.8206779501267842, train_acc: 0.4049107142857143, train_f1: 0.2849812305021447
Epoch 18: train_loss: 0.8148083393062864, train_acc: 0.40535714285714286, train_f1: 0.2897852738574795
Epoch 19: train_loss: 0.8102218176637377, train_acc: 0.4174107142857143, train_f1: 0.29812300415779686
Epoch 20: train_loss: 0.8084376198904855, train_acc: 0.41651785714285716, train_f1: 0.30044923169273163
Epoch 21: train_loss: 0.7998548929180418, train_acc: 0.42075892857142855, train_f1: 0.2983407561194695
Epoch 22: train_loss: 0.797198247058051, train_acc: 0.42232142857142857, train_f1: 0.3032975803806972
Epoch 23: train_loss: 0.7963100058691842, train_acc: 0.42433035714285716, train_f1: 0.30496526372744026
Epoch 24: train_loss: 0.7956631343279567, train_acc: 0.42589285714285713, train_f1: 0.3072477112027564
Epoch 25: train_loss: 0.7980197135891233, train_acc: 0.421875, train_f1: 0.3098722388874508
Epoch 26: train_loss: 0.7766425149781363, train_acc: 0.43995535714285716, train_f1: 0.3242852801124065
Epoch 27: train_loss: 0.7958651883261544, train_acc: 0.42299107142857145, train_f1: 0.3099204749968216
Epoch 28: train_loss: 0.7806658859763826, train_acc: 0.4348214285714286, train_f1: 0.3184896889689615
Epoch 29: train_loss: 0.7728670026574816, train_acc: 0.44419642857142855, train_f1: 0.3244439823514057
Epoch 30: train_loss: 0.7721421961273466, train_acc: 0.44308035714285715, train_f1: 0.32605937513892574
Epoch 31: train_loss: 0.7692136930567878, train_acc: 0.4435267857142857, train_f1: 0.33251796941436784
Epoch 32: train_loss: 0.768160155415535, train_acc: 0.44575892857142857, train_f1: 0.33219545632123954
Epoch 33: train_loss: 0.7755436744008746, train_acc: 0.4395089285714286, train_f1: 0.3256874437448315
Epoch 34: train_loss: 0.7727895372680256, train_acc: 0.4455357142857143, train_f1: 0.3292919685005427
Epoch 35: train_loss: 0.7563333579472133, train_acc: 0.45401785714285714, train_f1: 0.33942923122758567
Epoch 36: train_loss: 0.7570298769644328, train_acc: 0.45401785714285714, train_f1: 0.34816548413528753
Epoch 37: train_loss: 0.7527449754731995, train_acc: 0.45736607142857144, train_f1: 0.34941743657257524
Epoch 38: train_loss: 0.7498231487614768, train_acc: 0.46004464285714286, train_f1: 0.3539157323113416
Epoch 39: train_loss: 0.7388394526072911, train_acc: 0.4703125, train_f1: 0.3619204865217062
Epoch 40: train_loss: 0.737538643181324, train_acc: 0.4700892857142857, train_f1: 0.36980848007000416
Epoch 41: train_loss: 0.734211928503854, train_acc: 0.47700892857142857, train_f1: 0.3745420249823172
Epoch 42: train_loss: 0.7373529025486537, train_acc: 0.4720982142857143, train_f1: 0.37257141889851053
Epoch 43: train_loss: 0.7287014565297536, train_acc: 0.47767857142857145, train_f1: 0.3698566816689661
Epoch 44: train_loss: 0.7290932949100222, train_acc: 0.4785714285714286, train_f1: 0.3834102280253797
Epoch 45: train_loss: 0.7264785489865712, train_acc: 0.47946428571428573, train_f1: 0.3856794137609194
Epoch 46: train_loss: 0.7230429636580603, train_acc: 0.48549107142857145, train_f1: 0.3880591655804529
