Epoch 1: train_loss: 0.9800393142870494, train_acc: 0.26450892857142855, train_f1: 0.15364479237859263
Epoch 2: train_loss: 0.9531546805586134, train_acc: 0.29151785714285716, train_f1: 0.16118833069933441
Epoch 3: train_loss: 0.9363656823124205, train_acc: 0.3073660714285714, train_f1: 0.18103126995995442
Epoch 4: train_loss: 0.9285188857998167, train_acc: 0.31629464285714287, train_f1: 0.18583916386765284
Epoch 5: train_loss: 0.9140822299889155, train_acc: 0.32589285714285715, train_f1: 0.19228104747692173
Epoch 6: train_loss: 0.9028295116765158, train_acc: 0.3345982142857143, train_f1: 0.2016872407222884
Epoch 7: train_loss: 0.8738175660371781, train_acc: 0.36160714285714285, train_f1: 0.21811718538718394
Epoch 8: train_loss: 0.8681623731340681, train_acc: 0.3671875, train_f1: 0.23027901111001067
Epoch 9: train_loss: 0.8637596032449177, train_acc: 0.3658482142857143, train_f1: 0.2272541682894851
Epoch 10: train_loss: 0.8582250935690744, train_acc: 0.3743303571428571, train_f1: 0.23687668887890745
Epoch 11: train_loss: 0.8441103100776672, train_acc: 0.384375, train_f1: 0.2505014329749709
Epoch 12: train_loss: 0.8535692142588752, train_acc: 0.3743303571428571, train_f1: 0.241381490623595
Epoch 13: train_loss: 0.8397535187857491, train_acc: 0.38683035714285713, train_f1: 0.2667541616621821
Epoch 14: train_loss: 0.8386013341801507, train_acc: 0.3886160714285714, train_f1: 0.2665851363535608
Epoch 15: train_loss: 0.8370473099606378, train_acc: 0.3892857142857143, train_f1: 0.27340835348566445
Epoch 16: train_loss: 0.8205513111182622, train_acc: 0.4080357142857143, train_f1: 0.28734252848796155
Epoch 17: train_loss: 0.8154566675424576, train_acc: 0.4069196428571429, train_f1: 0.2891279730318806
Epoch 18: train_loss: 0.8195954382419586, train_acc: 0.4046875, train_f1: 0.2864149828036983
Epoch 19: train_loss: 0.8151848652533122, train_acc: 0.4109375, train_f1: 0.290586782874268
Epoch 20: train_loss: 0.8024873563221523, train_acc: 0.415625, train_f1: 0.2955217955159621
Epoch 21: train_loss: 0.8028573670557567, train_acc: 0.42075892857142855, train_f1: 0.3015451045389419
Epoch 22: train_loss: 0.8043295362165996, train_acc: 0.41785714285714287, train_f1: 0.30165019731500525
Epoch 23: train_loss: 0.8038044542074203, train_acc: 0.4160714285714286, train_f1: 0.3009902618518047
Epoch 24: train_loss: 0.7927922193493162, train_acc: 0.42477678571428573, train_f1: 0.30418054619163426
Epoch 25: train_loss: 0.7907353162765502, train_acc: 0.4294642857142857, train_f1: 0.30878516053213195
Epoch 26: train_loss: 0.7841230307306563, train_acc: 0.4328125, train_f1: 0.3163802504095911
Epoch 27: train_loss: 0.7874358172927584, train_acc: 0.42857142857142855, train_f1: 0.309520924277293
Epoch 28: train_loss: 0.7798403122595379, train_acc: 0.43504464285714284, train_f1: 0.31454088176878586
Epoch 29: train_loss: 0.7800276151725224, train_acc: 0.4401785714285714, train_f1: 0.3197488469152749
Epoch 30: train_loss: 0.7856480758105006, train_acc: 0.4361607142857143, train_f1: 0.3150567740559983
Epoch 31: train_loss: 0.781056533753872, train_acc: 0.4348214285714286, train_f1: 0.31658524479375555
Epoch 32: train_loss: 0.7662488999111312, train_acc: 0.4439732142857143, train_f1: 0.3246324578513607
Epoch 33: train_loss: 0.7696261561342648, train_acc: 0.4455357142857143, train_f1: 0.3289605772706609
Epoch 34: train_loss: 0.7613158453788076, train_acc: 0.44888392857142856, train_f1: 0.33356230474110166
Epoch 35: train_loss: 0.7646082886627742, train_acc: 0.44776785714285716, train_f1: 0.3392287327306622
Epoch 36: train_loss: 0.7603739974754197, train_acc: 0.4537946428571429, train_f1: 0.3479594314692625
Epoch 37: train_loss: 0.7604257464408875, train_acc: 0.4517857142857143, train_f1: 0.34210747762842036
Epoch 38: train_loss: 0.7529822741236005, train_acc: 0.46049107142857143, train_f1: 0.3534798483545452
Epoch 39: train_loss: 0.7455683090857097, train_acc: 0.4674107142857143, train_f1: 0.35748174504054325
Epoch 40: train_loss: 0.7455271712371281, train_acc: 0.4640625, train_f1: 0.3615115317811231
Epoch 41: train_loss: 0.7421530042375837, train_acc: 0.46785714285714286, train_f1: 0.35978302222806846
Epoch 42: train_loss: 0.7370523484689849, train_acc: 0.47165178571428573, train_f1: 0.3705898052690127
Epoch 43: train_loss: 0.7380829872829574, train_acc: 0.47366071428571427, train_f1: 0.3697610067318369
Epoch 44: train_loss: 0.7317609684807914, train_acc: 0.4763392857142857, train_f1: 0.37834372854486936
Epoch 45: train_loss: 0.732794525367873, train_acc: 0.4747767857142857, train_f1: 0.37727837220903243
Epoch 46: train_loss: 0.7323136223214013, train_acc: 0.47544642857142855, train_f1: 0.38026178351043266
Epoch 47: train_loss: 0.742518199128764, train_acc: 0.47232142857142856, train_f1: 0.37589600583612093
Epoch 48: train_loss: 0.7331985778042248, train_acc: 0.4734375, train_f1: 0.3699654237901793
Epoch 49: train_loss: 0.7176916324666568, train_acc: 0.48325892857142855, train_f1: 0.3834620021882043
Epoch 50: train_loss: 0.7252042695879937, train_acc: 0.48013392857142856, train_f1: 0.3809017763386293
Epoch 51: train_loss: 0.7174322209187917, train_acc: 0.4863839285714286, train_f1: 0.3884035473177588
Epoch 52: train_loss: 0.713493464248521, train_acc: 0.49174107142857143, train_f1: 0.3963131402134234
Epoch 53: train_loss: 0.7116142262305533, train_acc: 0.4901785714285714, train_f1: 0.39594064453403005
Epoch 54: train_loss: 0.7110884468470301, train_acc: 0.48794642857142856, train_f1: 0.39121994911074215
Epoch 55: train_loss: 0.7103769304496902, train_acc: 0.49174107142857143, train_f1: 0.404818336619885
Epoch 56: train_loss: 0.7004704277430261, train_acc: 0.496875, train_f1: 0.4073517852035124
Epoch 57: train_loss: 0.7029791110328265, train_acc: 0.5002232142857143, train_f1: 0.4043961238371128
Epoch 58: train_loss: 0.7073723899466651, train_acc: 0.49464285714285716, train_f1: 0.40113433951203153
Epoch 59: train_loss: 0.7020733062710081, train_acc: 0.49888392857142855, train_f1: 0.4072198376689689
Epoch 60: train_loss: 0.6998716124466487, train_acc: 0.5029017857142857, train_f1: 0.40795026289274344
Epoch 61: train_loss: 0.6937678154025759, train_acc: 0.5026785714285714, train_f1: 0.4118890916921516
Epoch 62: train_loss: 0.6975629116807666, train_acc: 0.5035714285714286, train_f1: 0.4088737014783585
Epoch 63: train_loss: 0.6954037502408028, train_acc: 0.5033482142857143, train_f1: 0.40860850641647306
Epoch 64: train_loss: 0.6917797644223486, train_acc: 0.5082589285714286, train_f1: 0.42154276725683326
Epoch 65: train_loss: 0.7065247584666524, train_acc: 0.4948660714285714, train_f1: 0.4071969407932594
Epoch 66: train_loss: 0.686275660778795, train_acc: 0.5118303571428572, train_f1: 0.4231401794469844
Epoch 67: train_loss: 0.6946867531963757, train_acc: 0.5022321428571429, train_f1: 0.4040976579346673
Epoch 68: train_loss: 0.6815969113792691, train_acc: 0.5127232142857143, train_f1: 0.4276518108795593
Epoch 69: train_loss: 0.6949320501514844, train_acc: 0.5046875, train_f1: 0.4261884495004051
Epoch 70: train_loss: 0.6906737595796585, train_acc: 0.5055803571428571, train_f1: 0.42277891912433607
