Epoch 1: train_loss: 7.302760079928807, train_acc: 0.26473214285714286, train_f1: 0.15602552017608204
Epoch 2: train_loss: 7.058316564559936, train_acc: 0.2950892857142857, train_f1: 0.15873304492010684
Epoch 3: train_loss: 6.890547997610909, train_acc: 0.3185267857142857, train_f1: 0.1840938690721092
Epoch 4: train_loss: 6.847686808449882, train_acc: 0.3247767857142857, train_f1: 0.18903399971742055
Epoch 5: train_loss: 6.765860254423959, train_acc: 0.3361607142857143, train_f1: 0.20462967151386344
Epoch 6: train_loss: 6.638650863511222, train_acc: 0.35, train_f1: 0.2124316984569059
Epoch 7: train_loss: 6.533676287106105, train_acc: 0.35982142857142857, train_f1: 0.21812870161002093
Epoch 8: train_loss: 6.422967890330724, train_acc: 0.37209821428571427, train_f1: 0.22664658524588174
Epoch 9: train_loss: 6.40641143321991, train_acc: 0.3756696428571429, train_f1: 0.2294210937596306
Epoch 10: train_loss: 6.390732935496739, train_acc: 0.3783482142857143, train_f1: 0.23215403681727279
Epoch 11: train_loss: 6.2590488297598705, train_acc: 0.39419642857142856, train_f1: 0.24622279024537666
Epoch 12: train_loss: 6.254400866372245, train_acc: 0.3926339285714286, train_f1: 0.2507868912269001
Epoch 13: train_loss: 6.217387352670942, train_acc: 0.39553571428571427, train_f1: 0.2648214791860817
Epoch 14: train_loss: 6.172922481809343, train_acc: 0.40401785714285715, train_f1: 0.28427407984999487
Epoch 15: train_loss: 6.162682025773185, train_acc: 0.40580357142857143, train_f1: 0.28296721934267405
Epoch 16: train_loss: 6.05048452104841, train_acc: 0.41629464285714285, train_f1: 0.29548671341948607
Epoch 17: train_loss: 6.035957631043026, train_acc: 0.41763392857142856, train_f1: 0.29944265366603345
Epoch 18: train_loss: 6.004261541366577, train_acc: 0.4232142857142857, train_f1: 0.2994504743248062
Epoch 19: train_loss: 5.971119226728167, train_acc: 0.42857142857142855, train_f1: 0.30358567496837424
Epoch 20: train_loss: 5.8771586486271445, train_acc: 0.4361607142857143, train_f1: 0.31193538046594166
Epoch 21: train_loss: 5.895512895924704, train_acc: 0.4310267857142857, train_f1: 0.30976706277147015
Epoch 22: train_loss: 5.789699235984258, train_acc: 0.4455357142857143, train_f1: 0.32278677369544423
Epoch 23: train_loss: 5.807063780512128, train_acc: 0.44776785714285716, train_f1: 0.3228949698804836
Epoch 24: train_loss: 5.765699710164752, train_acc: 0.4459821428571429, train_f1: 0.3234057395084076
Epoch 25: train_loss: 5.795893132686615, train_acc: 0.4446428571428571, train_f1: 0.32498450113846983
Epoch 26: train_loss: 5.747050777503422, train_acc: 0.4497767857142857, train_f1: 0.3270268112970817
Epoch 27: train_loss: 5.704337467466082, train_acc: 0.45357142857142857, train_f1: 0.3341378459741024
Epoch 28: train_loss: 5.690607626097543, train_acc: 0.4549107142857143, train_f1: 0.33523520425688297
Epoch 29: train_loss: 5.617918377263205, train_acc: 0.46383928571428573, train_f1: 0.348247021714879
Epoch 30: train_loss: 5.621063377176013, train_acc: 0.46651785714285715, train_f1: 0.3461209182461566
Epoch 31: train_loss: 5.586941867215293, train_acc: 0.4680803571428571, train_f1: 0.3595249958524451
Epoch 32: train_loss: 5.519233841555459, train_acc: 0.4758928571428571, train_f1: 0.371039193291088
Epoch 33: train_loss: 5.520158064365387, train_acc: 0.4783482142857143, train_f1: 0.3746514326841295
