Epoch 1: train_loss: 1.3295077501485746, train_acc: 0.3723958333333333, train_f1: 0.12761181952631742
Epoch 2: train_loss: 1.2416244968771935, train_acc: 0.4073893229166667, train_f1: 0.12781811110758776
Epoch 3: train_loss: 1.184514264576137, train_acc: 0.42041015625, train_f1: 0.1763821750996458
Epoch 4: train_loss: 1.1656469979013007, train_acc: 0.4208984375, train_f1: 0.19026375118434338
Epoch 5: train_loss: 1.1442814519008, train_acc: 0.4314778645833333, train_f1: 0.2147138650062486
Epoch 6: train_loss: 1.14368217655768, train_acc: 0.4278971354166667, train_f1: 0.221810884837871
Epoch 7: train_loss: 1.1174362205589812, train_acc: 0.4368489583333333, train_f1: 0.2439377711862588
Epoch 8: train_loss: 1.1006974627574284, train_acc: 0.4510091145833333, train_f1: 0.2640374459355775
Epoch 9: train_loss: 1.076320671165983, train_acc: 0.46533203125, train_f1: 0.304855719506351
Epoch 10: train_loss: 1.053840723199149, train_acc: 0.4803059895833333, train_f1: 0.31881807305346227
Epoch 11: train_loss: 1.0193225198114912, train_acc: 0.5027669270833334, train_f1: 0.35306332315998684
Epoch 12: train_loss: 0.9869194328784943, train_acc: 0.5206705729166666, train_f1: 0.37922675226055597
Epoch 13: train_loss: 0.9598951150352756, train_acc: 0.5364583333333334, train_f1: 0.3959250079903644
Epoch 14: train_loss: 0.916269420646131, train_acc: 0.5611979166666666, train_f1: 0.43795080763759486
Epoch 15: train_loss: 0.8863642880072197, train_acc: 0.5748697916666666, train_f1: 0.4492881362501471
Epoch 16: train_loss: 0.8628534773985544, train_acc: 0.5830078125, train_f1: 0.4620463189856983
Epoch 17: train_loss: 0.8530160676067075, train_acc: 0.583984375, train_f1: 0.46943834229368137
Epoch 18: train_loss: 0.8238203028837839, train_acc: 0.60205078125, train_f1: 0.49109480288137597
Epoch 19: train_loss: 0.7947463796784481, train_acc: 0.615234375, train_f1: 0.5136401872603081
Epoch 20: train_loss: 0.7615281237910191, train_acc: 0.6328125, train_f1: 0.5385817199707897
Epoch 21: train_loss: 0.7553117910089592, train_acc: 0.6310221354166666, train_f1: 0.5289709262968735
Epoch 22: train_loss: 0.7373721095112463, train_acc: 0.6507161458333334, train_f1: 0.5649259671208673
Epoch 23: train_loss: 0.6991108199581504, train_acc: 0.6603190104166666, train_f1: 0.5794603123239566
Epoch 24: train_loss: 0.6830934858880937, train_acc: 0.6669921875, train_f1: 0.5935571753665677
Epoch 25: train_loss: 0.6575441878909866, train_acc: 0.6814778645833334, train_f1: 0.6123554950389659
Epoch 26: train_loss: 0.6606116246742507, train_acc: 0.6769205729166666, train_f1: 0.6102283854728776
Epoch 27: train_loss: 0.6252073698366681, train_acc: 0.6956380208333334, train_f1: 0.6378169091755785
Epoch 28: train_loss: 0.6214069800140957, train_acc: 0.7024739583333334, train_f1: 0.6481755046521087
Epoch 29: train_loss: 0.6072119994399449, train_acc: 0.70556640625, train_f1: 0.6467787884529289
Epoch 30: train_loss: 0.5840438891512653, train_acc: 0.7233072916666666, train_f1: 0.6745937072163025
Epoch 31: train_loss: 0.5722353529805938, train_acc: 0.7223307291666666, train_f1: 0.6728349864801949
Epoch 32: train_loss: 0.556195547649016, train_acc: 0.7374674479166666, train_f1: 0.6943799904956877
Epoch 33: train_loss: 0.5519083693313102, train_acc: 0.73681640625, train_f1: 0.6963875921985064
Epoch 34: train_loss: 0.5412594137402872, train_acc: 0.7381184895833334, train_f1: 0.6995958447606697
Epoch 35: train_loss: 0.5344828849968811, train_acc: 0.7408854166666666, train_f1: 0.7014839411646966
Epoch 36: train_loss: 0.5311560961417854, train_acc: 0.7452799479166666, train_f1: 0.7071686367196303
Epoch 37: train_loss: 0.5121688593644649, train_acc: 0.75537109375, train_f1: 0.7203615327204305
Epoch 38: train_loss: 0.5112591178622097, train_acc: 0.75439453125, train_f1: 0.719318679596079
Epoch 39: train_loss: 0.49930443537111086, train_acc: 0.7594401041666666, train_f1: 0.7288668589864953
Epoch 40: train_loss: 0.4798714279507597, train_acc: 0.7718098958333334, train_f1: 0.7421301742818335
Epoch 41: train_loss: 0.4836984466140469, train_acc: 0.7666015625, train_f1: 0.7383827527802054
Epoch 42: train_loss: 0.464043641074871, train_acc: 0.77734375, train_f1: 0.7582881270642252
Epoch 43: train_loss: 0.46518965329354006, train_acc: 0.7766927083333334, train_f1: 0.749758713204646
Epoch 44: train_loss: 0.45786086019749445, train_acc: 0.7814127604166666, train_f1: 0.7594099284232333
Epoch 45: train_loss: 0.4514404749497771, train_acc: 0.7843424479166666, train_f1: 0.7602020157142074
Epoch 46: train_loss: 0.43998914406013984, train_acc: 0.7884114583333334, train_f1: 0.7645474662604794
Epoch 47: train_loss: 0.4289204030452917, train_acc: 0.7967122395833334, train_f1: 0.7765479518332068
Epoch 48: train_loss: 0.4420681492580722, train_acc: 0.7858072916666666, train_f1: 0.7624750252924285
Epoch 49: train_loss: 0.43731152048955363, train_acc: 0.79052734375, train_f1: 0.7698731726250135
Epoch 50: train_loss: 0.42669486114755273, train_acc: 0.79296875, train_f1: 0.7733401102530045
Epoch 51: train_loss: 0.4157067979685962, train_acc: 0.7981770833333334, train_f1: 0.7804312698361834
Epoch 52: train_loss: 0.41319856063152355, train_acc: 0.8011067708333334, train_f1: 0.7852772057266884
Epoch 53: train_loss: 0.4244037991544853, train_acc: 0.7976888020833334, train_f1: 0.777361031868681
Epoch 54: train_loss: 0.4027375925021867, train_acc: 0.80419921875, train_f1: 0.78592526706725
Epoch 55: train_loss: 0.41780413477681577, train_acc: 0.7998046875, train_f1: 0.7815260967569809
Epoch 56: train_loss: 0.4051168199318151, train_acc: 0.8092447916666666, train_f1: 0.791638304438336
Epoch 57: train_loss: 0.39058110311937827, train_acc: 0.8082682291666666, train_f1: 0.7961131323611913
Epoch 58: train_loss: 0.37878064229153097, train_acc: 0.81396484375, train_f1: 0.7980807867229901
Epoch 59: train_loss: 0.3905884729853521, train_acc: 0.8157552083333334, train_f1: 0.7999262530424484
Epoch 60: train_loss: 0.3785924375212441, train_acc: 0.8157552083333334, train_f1: 0.8022745773330605
Epoch 61: train_loss: 0.391224246006459, train_acc: 0.8134765625, train_f1: 0.7970082515896738
Epoch 62: train_loss: 0.37366800910482806, train_acc: 0.8175455729166666, train_f1: 0.8025912217378791
Epoch 63: train_loss: 0.37672199386482436, train_acc: 0.82177734375, train_f1: 0.8105868352562627
Epoch 64: train_loss: 0.3722711588876943, train_acc: 0.8209635416666666, train_f1: 0.8103484302292134
Epoch 65: train_loss: 0.37134660213875276, train_acc: 0.8199869791666666, train_f1: 0.8091626361535781
Epoch 66: train_loss: 0.3652539394485454, train_acc: 0.8260091145833334, train_f1: 0.8148832453698089
Epoch 67: train_loss: 0.3684141413929562, train_acc: 0.8229166666666666, train_f1: 0.8119928691430404
Epoch 68: train_loss: 0.3659511456498876, train_acc: 0.8238932291666666, train_f1: 0.8122629086395591
Epoch 69: train_loss: 0.36226311869298417, train_acc: 0.82666015625, train_f1: 0.8170607570295285
Epoch 70: train_loss: 0.35348391222457093, train_acc: 0.8277994791666666, train_f1: 0.8168874346908588
Epoch 71: train_loss: 0.35327311294774216, train_acc: 0.8282877604166666, train_f1: 0.8158108309681333
Epoch 72: train_loss: 0.3516660941919933, train_acc: 0.82763671875, train_f1: 0.8181569368072216
Epoch 73: train_loss: 0.35206751998824376, train_acc: 0.8277994791666666, train_f1: 0.8180438923098255
Epoch 74: train_loss: 0.35626253982385, train_acc: 0.8297526041666666, train_f1: 0.8209574824900598
Epoch 75: train_loss: 0.3539455933496356, train_acc: 0.8263346354166666, train_f1: 0.8106059175640006
Epoch 76: train_loss: 0.34939512827744085, train_acc: 0.83154296875, train_f1: 0.8233771653353316
Epoch 77: train_loss: 0.34988730621989816, train_acc: 0.8302408854166666, train_f1: 0.8200454341572311
Epoch 78: train_loss: 0.3393319815707703, train_acc: 0.8330078125, train_f1: 0.8218448644464401
Epoch 79: train_loss: 0.3428480299965789, train_acc: 0.8362630208333334, train_f1: 0.8269506239357064
