Epoch 1: train_loss: 7.075042138303764, train_acc: 0.29754377431906615, train_f1: 0.17406063488151827
Epoch 2: train_loss: 6.335808232600587, train_acc: 0.3724464980544747, train_f1: 0.23605962595966645
Epoch 3: train_loss: 6.054905370051759, train_acc: 0.40029182879377434, train_f1: 0.2530785134871244
Epoch 4: train_loss: 5.670132771540245, train_acc: 0.441147859922179, train_f1: 0.2789855296190899
Epoch 5: train_loss: 5.433062641537143, train_acc: 0.46364299610894943, train_f1: 0.2996225650586089
Epoch 6: train_loss: 5.242130411274238, train_acc: 0.48455739299610895, train_f1: 0.3005891776415791
Epoch 7: train_loss: 5.077123569607271, train_acc: 0.4996352140077821, train_f1: 0.3117018069706347
Epoch 8: train_loss: 4.928339346837441, train_acc: 0.5128891050583657, train_f1: 0.32857310582530275
Epoch 9: train_loss: 4.796950375523549, train_acc: 0.5241974708171206, train_f1: 0.34181053632877795
Epoch 10: train_loss: 4.676829887271391, train_acc: 0.5352626459143969, train_f1: 0.389957394415778
Epoch 11: train_loss: 4.545161044087392, train_acc: 0.5509484435797666, train_f1: 0.4336303250529933
Epoch 12: train_loss: 4.459307403416021, train_acc: 0.5599464980544747, train_f1: 0.4596369054606379
Epoch 13: train_loss: 4.187865773991388, train_acc: 0.5858463035019456, train_f1: 0.49887725445291586
Epoch 14: train_loss: 4.09305266879412, train_acc: 0.5908317120622568, train_f1: 0.5097274219200104
Epoch 15: train_loss: 4.017682637222082, train_acc: 0.6016536964980544, train_f1: 0.5293305402353432
Epoch 16: train_loss: 3.930800173069253, train_acc: 0.6106517509727627, train_f1: 0.5452819378864281
Epoch 17: train_loss: 3.840464474162239, train_acc: 0.6167315175097277, train_f1: 0.5637424749287537
Epoch 18: train_loss: 3.7982061400951577, train_acc: 0.6217169260700389, train_f1: 0.566216510948387
Epoch 19: train_loss: 3.732311762724405, train_acc: 0.6259727626459144, train_f1: 0.5801316184355688
Epoch 20: train_loss: 3.6371187175758153, train_acc: 0.6371595330739299, train_f1: 0.6129025191052636
Epoch 21: train_loss: 3.5157990914838324, train_acc: 0.6504134241245136, train_f1: 0.6162769201348978
Epoch 22: train_loss: 3.560704772110579, train_acc: 0.6397130350194552, train_f1: 0.617494687454676
Epoch 23: train_loss: 3.404422764648259, train_acc: 0.6591682879377432, train_f1: 0.6342595671528436
Epoch 24: train_loss: 3.3764791906111897, train_acc: 0.6636673151750972, train_f1: 0.6508632633325903
Epoch 25: train_loss: 3.3053612170980133, train_acc: 0.6664640077821011, train_f1: 0.6580956726586674
Epoch 26: train_loss: 3.2802369965653475, train_acc: 0.6708414396887159, train_f1: 0.6715907837336016
Epoch 27: train_loss: 3.224656411182092, train_acc: 0.6774075875486382, train_f1: 0.674270897274066
Epoch 28: train_loss: 3.1450321502722653, train_acc: 0.682636186770428, train_f1: 0.6851619855168644
Epoch 29: train_loss: 3.1066734424360996, train_acc: 0.6900535019455253, train_f1: 0.6988462128449083
Epoch 30: train_loss: 3.093529710509898, train_acc: 0.6843385214007782, train_f1: 0.6890239810735018
Epoch 31: train_loss: 3.017242773497615, train_acc: 0.6971060311284046, train_f1: 0.7072209689617696
Epoch 32: train_loss: 3.025057858066336, train_acc: 0.6971060311284046, train_f1: 0.7061799936960628
Epoch 33: train_loss: 2.9466279800763853, train_acc: 0.7054961089494164, train_f1: 0.7162976542584435
Epoch 34: train_loss: 2.8607936540930186, train_acc: 0.7120622568093385, train_f1: 0.7304894850974284
Epoch 35: train_loss: 2.875422382633046, train_acc: 0.7108463035019456, train_f1: 0.7235458362080603
Epoch 36: train_loss: 2.8864109966077693, train_acc: 0.708171206225681, train_f1: 0.7242952403466845
Epoch 37: train_loss: 2.773355935798081, train_acc: 0.724829766536965, train_f1: 0.7442143735316487
