Epoch 1: train_loss: 0.9566254553164025, train_acc: 0.2794260700389105, train_f1: 0.15767051253429235
Epoch 2: train_loss: 0.8722688240299893, train_acc: 0.3409533073929961, train_f1: 0.23127574574858437
Epoch 3: train_loss: 0.8448843533890721, train_acc: 0.36223249027237353, train_f1: 0.241370129733978
Epoch 4: train_loss: 0.8141549728259966, train_acc: 0.3867947470817121, train_f1: 0.2520856108405638
Epoch 5: train_loss: 0.7878457437693377, train_acc: 0.4091682879377432, train_f1: 0.27171407389633623
Epoch 6: train_loss: 0.7512627747272239, train_acc: 0.4342169260700389, train_f1: 0.2838977788199597
Epoch 7: train_loss: 0.7227794502495791, train_acc: 0.4592655642023346, train_f1: 0.29134573907664224
Epoch 8: train_loss: 0.6932823384318371, train_acc: 0.47507295719844356, train_f1: 0.3082799989613902
Epoch 9: train_loss: 0.6712439420854072, train_acc: 0.49331225680933855, train_f1: 0.32328782696677477
Epoch 10: train_loss: 0.6587640311467509, train_acc: 0.4970817120622568, train_f1: 0.3300364563306068
Epoch 11: train_loss: 0.6480223282533861, train_acc: 0.5122811284046692, train_f1: 0.33571052783094807
Epoch 12: train_loss: 0.631226396166397, train_acc: 0.519455252918288, train_f1: 0.3397481935336022
Epoch 13: train_loss: 0.62065009349515, train_acc: 0.528818093385214, train_f1: 0.3587549484946924
Epoch 14: train_loss: 0.6050238549013546, train_acc: 0.5424367704280155, train_f1: 0.3804290014986788
Epoch 15: train_loss: 0.6059197116686676, train_acc: 0.5344114785992218, train_f1: 0.3687510646837813
Epoch 16: train_loss: 0.6017860007193302, train_acc: 0.5380593385214008, train_f1: 0.39100227103595797
Epoch 17: train_loss: 0.5926264675210886, train_acc: 0.5490029182879378, train_f1: 0.42023322566793214
Epoch 18: train_loss: 0.582527370304449, train_acc: 0.5517996108949417, train_f1: 0.42508309749112244
Epoch 19: train_loss: 0.5759535109486561, train_acc: 0.5560554474708171, train_f1: 0.42743748065430665
Epoch 20: train_loss: 0.5675711884572812, train_acc: 0.5652966926070039, train_f1: 0.4629189430461372
Epoch 21: train_loss: 0.5563351473687688, train_acc: 0.573078793774319, train_f1: 0.4772708512554504
Epoch 22: train_loss: 0.5547431823344546, train_acc: 0.5708900778210116, train_f1: 0.4890357731151791
Epoch 23: train_loss: 0.5328785235547834, train_acc: 0.5922908560311284, train_f1: 0.5146956037597169
Epoch 24: train_loss: 0.5219681643326459, train_acc: 0.6001945525291829, train_f1: 0.5400775960267373
Epoch 25: train_loss: 0.5150384134123761, train_acc: 0.6028696498054474, train_f1: 0.5498796543167446
Epoch 26: train_loss: 0.5044819350836341, train_acc: 0.6100437743190662, train_f1: 0.5578760716018097
Epoch 27: train_loss: 0.49784176637226507, train_acc: 0.6160019455252919, train_f1: 0.5691973919169914
Epoch 28: train_loss: 0.4932703296961951, train_acc: 0.6166099221789884, train_f1: 0.5683380542663812
Epoch 29: train_loss: 0.49088932022974185, train_acc: 0.61806906614786, train_f1: 0.5734585161833655
Epoch 30: train_loss: 0.4809935009433138, train_acc: 0.6273103112840467, train_f1: 0.5807109773827184
Epoch 31: train_loss: 0.47336024103925384, train_acc: 0.6326605058365758, train_f1: 0.5962836588369875
Epoch 32: train_loss: 0.47482648230944163, train_acc: 0.6338764591439688, train_f1: 0.603971894949559
Epoch 33: train_loss: 0.46605657249805066, train_acc: 0.640442607003891, train_f1: 0.6099474966392884
Epoch 34: train_loss: 0.4725778368428523, train_acc: 0.6324173151750972, train_f1: 0.6041006746280028
Epoch 35: train_loss: 0.459165605763517, train_acc: 0.6411721789883269, train_f1: 0.6203419293023781
Epoch 36: train_loss: 0.4684020302870858, train_acc: 0.6360651750972762, train_f1: 0.6130428920616195
Epoch 37: train_loss: 0.4455585862412063, train_acc: 0.6544260700389105, train_f1: 0.6207524877128008
Epoch 38: train_loss: 0.45829460940936195, train_acc: 0.6414153696498055, train_f1: 0.6280324501337883
Epoch 39: train_loss: 0.4431651664847066, train_acc: 0.6561284046692607, train_f1: 0.6452386921022663
Epoch 40: train_loss: 0.4342719411571666, train_acc: 0.6613570038910506, train_f1: 0.6514086240090139
Epoch 41: train_loss: 0.4474090207875471, train_acc: 0.6512645914396887, train_f1: 0.6358471840505061
Epoch 42: train_loss: 0.4291236321749854, train_acc: 0.6637889105058365, train_f1: 0.6587688499876507
Epoch 43: train_loss: 0.4323957781615424, train_acc: 0.6652480544747081, train_f1: 0.6723288078368667
Epoch 44: train_loss: 0.43041034976332104, train_acc: 0.664396887159533, train_f1: 0.6630673017808629
Epoch 45: train_loss: 0.42245175193719825, train_acc: 0.6719357976653697, train_f1: 0.6779803435433157
Epoch 46: train_loss: 0.42430765115101515, train_acc: 0.671692607003891, train_f1: 0.6683351539824707
