Epoch 1: train_loss: 7.095668887349882, train_acc: 0.2931663424124514, train_f1: 0.17304863771452453
Epoch 2: train_loss: 6.4157203570414145, train_acc: 0.3635700389105058, train_f1: 0.22838305351693042
Epoch 3: train_loss: 6.08955214088529, train_acc: 0.3944552529182879, train_f1: 0.24963479689968296
Epoch 4: train_loss: 5.712325834578577, train_acc: 0.4344601167315175, train_f1: 0.2684725557808828
Epoch 5: train_loss: 5.5222242908255135, train_acc: 0.45330739299610895, train_f1: 0.29295772841690676
Epoch 6: train_loss: 5.2391316733007764, train_acc: 0.48334143968871596, train_f1: 0.30322694724121263
Epoch 7: train_loss: 5.053329414894609, train_acc: 0.5014591439688716, train_f1: 0.3136416746354871
Epoch 8: train_loss: 4.9089612135163545, train_acc: 0.5103356031128404, train_f1: 0.3266615013956727
Epoch 9: train_loss: 4.809611847428497, train_acc: 0.5227383268482491, train_f1: 0.3479090342244176
Epoch 10: train_loss: 4.67465064683313, train_acc: 0.5368433852140078, train_f1: 0.3835696044677961
Epoch 11: train_loss: 4.564971612121345, train_acc: 0.548273346303502, train_f1: 0.4178577057344543
Epoch 12: train_loss: 4.437223946537953, train_acc: 0.5584873540856031, train_f1: 0.4545713389332127
Epoch 13: train_loss: 4.192263315623836, train_acc: 0.5829280155642024, train_f1: 0.49760347032458596
Epoch 14: train_loss: 4.11772574617705, train_acc: 0.5918044747081712, train_f1: 0.5122427236377975
Epoch 15: train_loss: 4.048300982449305, train_acc: 0.5989785992217899, train_f1: 0.5270180865325244
Epoch 16: train_loss: 3.988484079271903, train_acc: 0.6011673151750972, train_f1: 0.5307308993473417
Epoch 17: train_loss: 3.8816052318083174, train_acc: 0.6118677042801557, train_f1: 0.550370107435722
Epoch 18: train_loss: 3.8249142800787546, train_acc: 0.6157587548638133, train_f1: 0.564824292431776
Epoch 19: train_loss: 3.748744541568979, train_acc: 0.6243920233463035, train_f1: 0.5734875458470753
Epoch 20: train_loss: 3.636114808835872, train_acc: 0.6370379377431906, train_f1: 0.6130572729676224
Epoch 21: train_loss: 3.5361710689411088, train_acc: 0.6474951361867705, train_f1: 0.6208971995317146
Epoch 22: train_loss: 3.587042178625263, train_acc: 0.6411721789883269, train_f1: 0.6217409025347357
Epoch 23: train_loss: 3.5108169711517454, train_acc: 0.6473735408560312, train_f1: 0.6126550266008618
Epoch 24: train_loss: 3.468383315936137, train_acc: 0.6527237354085603, train_f1: 0.6350252533496398
Epoch 25: train_loss: 3.366521859447316, train_acc: 0.6641536964980544, train_f1: 0.6540289108051224
Epoch 26: train_loss: 3.315914404531397, train_acc: 0.6663424124513618, train_f1: 0.6646224278998849
Epoch 27: train_loss: 3.2369644460974962, train_acc: 0.6731517509727627, train_f1: 0.6691365404416705
Epoch 28: train_loss: 3.236294394801099, train_acc: 0.6767996108949417, train_f1: 0.6779778234639733
Epoch 29: train_loss: 3.1549931435269603, train_acc: 0.6870136186770428, train_f1: 0.6897510996403162
Epoch 30: train_loss: 3.175886517832715, train_acc: 0.6831225680933852, train_f1: 0.686602750248689
Epoch 31: train_loss: 3.0717778576951082, train_acc: 0.6939445525291829, train_f1: 0.703250829510003
Epoch 32: train_loss: 3.0623655082650685, train_acc: 0.6943093385214008, train_f1: 0.6983030227009457
Epoch 33: train_loss: 2.9862724500871356, train_acc: 0.6977140077821011, train_f1: 0.7080127620584443
Epoch 34: train_loss: 2.9281376938875545, train_acc: 0.7053745136186771, train_f1: 0.7190541466886536
Epoch 35: train_loss: 2.973520340622631, train_acc: 0.7022130350194552, train_f1: 0.7104328452288039
Epoch 36: train_loss: 2.9385399359209528, train_acc: 0.7036721789883269, train_f1: 0.7148149375314633
Epoch 37: train_loss: 2.885320451936833, train_acc: 0.7107247081712063, train_f1: 0.7241665826238092
Epoch 38: train_loss: 2.8690423761360377, train_acc: 0.7131566147859922, train_f1: 0.7264209140754933
Epoch 39: train_loss: 2.794065353471481, train_acc: 0.7185068093385214, train_f1: 0.7376218139373124
Epoch 40: train_loss: 2.8204558874382584, train_acc: 0.7153453307392996, train_f1: 0.7339156554450977
Epoch 41: train_loss: 2.7480921984182722, train_acc: 0.7214250972762646, train_f1: 0.7429801042335975
Epoch 42: train_loss: 2.7049207014796335, train_acc: 0.7284776264591439, train_f1: 0.7499938340571731
Epoch 43: train_loss: 2.7984329647591144, train_acc: 0.7157101167315175, train_f1: 0.739443996718058
Epoch 44: train_loss: 2.71109688977787, train_acc: 0.7288424124513618, train_f1: 0.7490529368659523
Epoch 45: train_loss: 2.6739068024353294, train_acc: 0.7301799610894941, train_f1: 0.7555781830011092
Epoch 46: train_loss: 2.6047218444282443, train_acc: 0.7403939688715954, train_f1: 0.7673543306932382
Epoch 47: train_loss: 2.6243648709953993, train_acc: 0.7372324902723736, train_f1: 0.7624300411688912
Epoch 48: train_loss: 2.6134123635199282, train_acc: 0.736989299610895, train_f1: 0.76282453893084
Epoch 49: train_loss: 2.5885043779699717, train_acc: 0.7375972762645915, train_f1: 0.7642433773471721
Epoch 50: train_loss: 2.51230245851821, train_acc: 0.7480544747081712, train_f1: 0.7769793769945421
Epoch 51: train_loss: 2.5493854444314534, train_acc: 0.7456225680933852, train_f1: 0.7735608996924993
Epoch 52: train_loss: 2.5583123193640653, train_acc: 0.739421206225681, train_f1: 0.7699562777685971
Epoch 53: train_loss: 2.493623587871804, train_acc: 0.7482976653696498, train_f1: 0.7775732145013464
Epoch 54: train_loss: 2.4674377181650597, train_acc: 0.7526750972762646, train_f1: 0.7841090734521261
Epoch 55: train_loss: 2.483009282253132, train_acc: 0.7517023346303502, train_f1: 0.7854076197179708
Epoch 56: train_loss: 2.4437422427685807, train_acc: 0.7514591439688716, train_f1: 0.7842524485590959
