Epoch 1: train_loss: 7.065168005947009, train_acc: 0.29790856031128404, train_f1: 0.18116163038590835
Epoch 2: train_loss: 6.388784970754779, train_acc: 0.3633268482490272, train_f1: 0.22904153968313992
Epoch 3: train_loss: 5.977323103507669, train_acc: 0.41281614785992216, train_f1: 0.25333320167842305
Epoch 4: train_loss: 5.642810879978224, train_acc: 0.44418774319066145, train_f1: 0.2883009814502979
Epoch 5: train_loss: 5.3538055865217276, train_acc: 0.47410019455252916, train_f1: 0.29410990280326205
Epoch 6: train_loss: 5.216381194526583, train_acc: 0.48565175097276264, train_f1: 0.30314505302615913
Epoch 7: train_loss: 5.035873375050289, train_acc: 0.5046206225680934, train_f1: 0.3169533770703675
Epoch 8: train_loss: 4.90967826620614, train_acc: 0.514226653696498, train_f1: 0.3274990489474739
Epoch 9: train_loss: 4.790441814563618, train_acc: 0.5262645914396887, train_f1: 0.3621200703706658
Epoch 10: train_loss: 4.631024988708793, train_acc: 0.5386673151750972, train_f1: 0.3981218517355731
Epoch 11: train_loss: 4.44624139362736, train_acc: 0.5590953307392996, train_f1: 0.4562443322788903
Epoch 12: train_loss: 4.336395417669868, train_acc: 0.570646887159533, train_f1: 0.4704926936041776
Epoch 13: train_loss: 4.166687559988712, train_acc: 0.5874270428015564, train_f1: 0.5042561017775982
Epoch 14: train_loss: 4.076638110416872, train_acc: 0.5965466926070039, train_f1: 0.5208430244401917
Epoch 15: train_loss: 4.02373901322658, train_acc: 0.5971546692607004, train_f1: 0.5315750882675289
Epoch 16: train_loss: 3.9367700931163148, train_acc: 0.6071254863813229, train_f1: 0.5454612433314808
Epoch 17: train_loss: 3.8802288626882353, train_acc: 0.6139348249027238, train_f1: 0.5565326421388576
Epoch 18: train_loss: 3.779052129515414, train_acc: 0.6236624513618677, train_f1: 0.5752998767164417
Epoch 19: train_loss: 3.7043207137037344, train_acc: 0.6294990272373541, train_f1: 0.5888194074996091
Epoch 20: train_loss: 3.6271890638403392, train_acc: 0.6375243190661478, train_f1: 0.6141379489714239
Epoch 21: train_loss: 3.515726198482142, train_acc: 0.6494406614785992, train_f1: 0.6218118676213064
Epoch 22: train_loss: 3.4453969048154955, train_acc: 0.6561284046692607, train_f1: 0.6335072418575473
Epoch 23: train_loss: 3.426889641739515, train_acc: 0.6549124513618677, train_f1: 0.6450492688088244
Epoch 24: train_loss: 3.3515437929546787, train_acc: 0.6619649805447471, train_f1: 0.6481992839480283
Epoch 25: train_loss: 3.3409087727505873, train_acc: 0.6647616731517509, train_f1: 0.6537603059099771
Epoch 26: train_loss: 3.3109908808993924, train_acc: 0.6670719844357976, train_f1: 0.6585332637995014
Epoch 27: train_loss: 3.193033961470489, train_acc: 0.6785019455252919, train_f1: 0.6799002858452363
Epoch 28: train_loss: 3.1495335997310594, train_acc: 0.6849464980544747, train_f1: 0.6872333823350459
Epoch 29: train_loss: 3.1191541132759957, train_acc: 0.6854328793774319, train_f1: 0.6922365201447063
Epoch 30: train_loss: 3.028248276691956, train_acc: 0.6966196498054474, train_f1: 0.7064153241292227
Epoch 31: train_loss: 3.0728009234142672, train_acc: 0.6917558365758755, train_f1: 0.7012106676645451
Epoch 32: train_loss: 3.0309236796449595, train_acc: 0.6975924124513618, train_f1: 0.7074344827590244
Epoch 33: train_loss: 2.9600030680110945, train_acc: 0.7022130350194552, train_f1: 0.7111388512312304
Epoch 34: train_loss: 2.9433327069078437, train_acc: 0.7054961089494164, train_f1: 0.7215771883320782
Epoch 35: train_loss: 2.971858578897172, train_acc: 0.7026994163424124, train_f1: 0.7132291534020195
Epoch 36: train_loss: 2.8672844422002712, train_acc: 0.7121838521400778, train_f1: 0.7280718892453452
Epoch 37: train_loss: 2.805525538986295, train_acc: 0.7176556420233463, train_f1: 0.7357040672361301
Epoch 38: train_loss: 2.8438303006762196, train_acc: 0.7115758754863813, train_f1: 0.7280246151517353
Epoch 39: train_loss: 2.765414843763359, train_acc: 0.7237354085603113, train_f1: 0.7455136234368767
Epoch 40: train_loss: 2.7701005986692375, train_acc: 0.7228842412451362, train_f1: 0.7448557335742146
Epoch 41: train_loss: 2.685959944465281, train_acc: 0.7316391050583657, train_f1: 0.7559983372502092
Epoch 42: train_loss: 2.7286225473834382, train_acc: 0.728112840466926, train_f1: 0.7522318480796927
Epoch 43: train_loss: 2.6402374199856116, train_acc: 0.7363813229571985, train_f1: 0.7601393537706159
Epoch 44: train_loss: 2.620336969538885, train_acc: 0.738205252918288, train_f1: 0.7646812673074831
Epoch 45: train_loss: 2.668801737666594, train_acc: 0.7339494163424124, train_f1: 0.7627791695418601
Epoch 46: train_loss: 2.63067731342427, train_acc: 0.7332198443579766, train_f1: 0.7617106150711672
Epoch 47: train_loss: 2.580897513530598, train_acc: 0.7399075875486382, train_f1: 0.7677795381711533
Epoch 48: train_loss: 2.607491835545937, train_acc: 0.7374756809338522, train_f1: 0.7698309733994922
Epoch 49: train_loss: 2.5424060016754537, train_acc: 0.7448929961089494, train_f1: 0.7770198296552002
Epoch 50: train_loss: 2.591526856450255, train_acc: 0.7388132295719845, train_f1: 0.7660433098248199
Epoch 51: train_loss: 2.5159429191151483, train_acc: 0.7472033073929961, train_f1: 0.7789642198925395
Epoch 52: train_loss: 2.5504242858998043, train_acc: 0.745136186770428, train_f1: 0.7738336810860171
Epoch 53: train_loss: 2.4506417165006646, train_acc: 0.7538910505836576, train_f1: 0.7889759414019202
Epoch 54: train_loss: 2.4967954237637353, train_acc: 0.7468385214007782, train_f1: 0.7800614726758958
Epoch 55: train_loss: 2.4595074591005823, train_acc: 0.7538910505836576, train_f1: 0.7854050313082119
Epoch 56: train_loss: 2.458985949304781, train_acc: 0.752431906614786, train_f1: 0.7894998045572521
Epoch 57: train_loss: 2.4483629734135786, train_acc: 0.75693093385214, train_f1: 0.7912664948212648
Epoch 58: train_loss: 2.4872337306056043, train_acc: 0.7497568093385214, train_f1: 0.7846235964917239
Epoch 59: train_loss: 2.372705165050373, train_acc: 0.7651994163424124, train_f1: 0.8011963878957471
Epoch 60: train_loss: 2.4050163540858702, train_acc: 0.7591196498054474, train_f1: 0.7926966999687662
Epoch 61: train_loss: 2.393396036402261, train_acc: 0.7592412451361867, train_f1: 0.7951385385827057
Epoch 62: train_loss: 2.347379657081129, train_acc: 0.7641050583657587, train_f1: 0.8014849520408925
Epoch 63: train_loss: 2.37251460227521, train_acc: 0.764226653696498, train_f1: 0.8031453179646545
Epoch 64: train_loss: 2.3388396005222307, train_acc: 0.7643482490272373, train_f1: 0.8022949081159374
Epoch 65: train_loss: 2.3666859784014957, train_acc: 0.7634970817120622, train_f1: 0.8028646351216108
Epoch 66: train_loss: 2.3757517071085683, train_acc: 0.7610651750972762, train_f1: 0.7962599089813986
Epoch 67: train_loss: 2.3071414805108006, train_acc: 0.7695768482490273, train_f1: 0.8094111918364901
Epoch 68: train_loss: 2.303449750178519, train_acc: 0.7703064202334631, train_f1: 0.8091880516537419
Epoch 69: train_loss: 2.3157186596310093, train_acc: 0.7676313229571985, train_f1: 0.8070581342765261
Epoch 70: train_loss: 2.329280636421901, train_acc: 0.7665369649805448, train_f1: 0.8074530833439107
Epoch 71: train_loss: 2.2694355961413697, train_acc: 0.7726167315175098, train_f1: 0.8112807433134427
Epoch 72: train_loss: 2.2431161760820024, train_acc: 0.7754134241245136, train_f1: 0.816275901319831
Epoch 73: train_loss: 2.2586345417490263, train_acc: 0.773103112840467, train_f1: 0.8097621387228151
Epoch 74: train_loss: 2.3150621211946243, train_acc: 0.767023346303502, train_f1: 0.8070054946510036
Epoch 75: train_loss: 2.2183379823131784, train_acc: 0.7774805447470817, train_f1: 0.8186274044584291
Epoch 76: train_loss: 2.216375555741648, train_acc: 0.7777237354085603, train_f1: 0.8198712206328098
